Name, Color, Rarity, # Seen, ALSA, # Picked, ATA, # GP, GP WR, # OH, OH WR, # GD, GD WR, # GIH, GIH WR, # GND, GND WR, IWD
Alchemist's Retrieval, U, C, 304829, 7.03, 43809, 9.96, 89010, 54.8, 16883, 53.2, 33731, 55.9, 50614, 55.0, 43527, 54.4, 0.6
Binding Geist, U, C, 283888, 6.16, 45791, 8.54, 109647, 54.1, 24857, 53.2, 41587, 53.4, 66444, 53.3, 52109, 54.7, -1.3
Biolume Egg, U, U, 65715, 3.88, 20503, 4.46, 71054, 56.6, 15505, 61.1, 29766, 59.8, 45271, 60.2, 32240, 52.4, 7.8
Cemetery Illuminator, U, M, 4316, 1.57, 2892, 1.51, 14086, 56.1, 2412, 56.2, 4799, 60.1, 7211, 58.8, 7230, 53.3, 5.5
Chill of the Grave, U, C, 286783, 6.28, 55198, 8.42, 143740, 55.1, 33751, 52.9, 70877, 57.5, 104628, 56.0, 61817, 54.3, 1.7
Cobbled Lancer, U, U, 85742, 4.92, 16085, 6.59, 50625, 54.0, 8954, 53.1, 18163, 55.0, 27117, 54.4, 25500, 53.4, 1.0
Consuming Tide, U, R, 26039, 4.50, 3403, 6.55, 2972, 47.0, 486, 40.9, 1007, 45.9, 1493, 44.3, 1552, 48.5, -4.2
Cradle of Safety, U, C, 306564, 7.13, 44898, 10.02, 92028, 55.0, 17071, 53.5, 32267, 56.0, 49338, 55.1, 46101, 54.8, 0.3
Cruel Witness, U, C, 256828, 5.28, 48575, 7.12, 148461, 55.2, 32572, 55.0, 65549, 55.7, 98121, 55.5, 66930, 54.5, 1.0
Diver Skaab, U, U, 68085, 3.82, 22569, 4.47, 91780, 56.6, 17126, 57.8, 37498, 59.6, 54624, 59.0, 43345, 54.0, 5.0
Dreadlight Monstrosity, U, C, 311875, 7.61, 34959, 11.18, 32379, 50.0, 5110, 48.3, 11946, 51.7, 17056, 50.7, 16665, 49.5, 1.2
Dreamshackle Geist, U, R, 9784, 1.79, 6222, 1.75, 32184, 58.2, 5841, 64.4, 11135, 62.7, 16976, 63.3, 16311, 53.3, 10.0
Fear of Death, U, C, 315586, 7.94, 40008, 11.28, 36441, 52.4, 7711, 50.0, 14141, 52.9, 21852, 51.9, 17191, 52.9, -1.1
Geistlight Snare, U, U, 102106, 6.23, 15319, 8.75, 32729, 56.1, 6086, 56.7, 11121, 57.3, 17207, 57.1, 16775, 55.3, 1.8
Geralf Visionary Stitcher, U, R, 10035, 1.84, 6233, 1.79, 31574, 55.7, 5627, 58.6, 11356, 60.2, 16983, 59.6, 15659, 51.7, 8.0
Gutter Skulker, U, U, 69567, 4.12, 14566, 5.27, 53275, 53.2, 9713, 52.2, 17913, 53.8, 27626, 53.3, 27637, 53.0, 0.3
Hullbreaker Horror, U, R, 7762, 1.45, 6017, 1.42, 32137, 57.3, 5293, 60.5, 12114, 63.4, 17407, 62.5, 15718, 51.7, 10.8
Inspired Idea, U, R, 19661, 3.31, 5472, 3.89, 21275, 54.3, 3624, 51.9, 6802, 57.3, 10426, 55.4, 11197, 53.4, 2.0
Jacob Hauken Inspector, U, M, 5047, 1.79, 3163, 1.78, 14824, 56.4, 2583, 62.4, 4753, 57.6, 7336, 59.3, 7815, 54.0, 5.3
Lantern Bearer, U, C, 222677, 4.42, 61080, 5.46, 194564, 56.0, 54378, 59.2, 88608, 56.4, 142986, 57.5, 80166, 53.8, 3.6
Lunar Rejection, U, U, 78823, 4.35, 23587, 5.22, 95808, 57.2, 19145, 56.9, 39294, 60.7, 58439, 59.4, 45184, 55.1, 4.4
Mirrorhall Mimic, U, R, 9509, 1.75, 6478, 1.71, 32635, 56.1, 5682, 56.8, 10704, 59.0, 16386, 58.2, 16912, 53.9, 4.4
Mischievous Catgeist, U, U, 69822, 4.05, 13649, 5.41, 54600, 54.6, 10937, 55.8, 17328, 52.9, 28265, 54.1, 28120, 55.2, -1.1
Necroduality, U, M, 6202, 2.40, 2510, 2.30, 8518, 54.8, 1490, 63.2, 3084, 58.4, 4574, 60.0, 4008, 48.8, 11.2
Overcharged Amalgam, U, R, 9748, 1.79, 5968, 1.77, 29950, 56.5, 5031, 57.7, 10517, 60.7, 15548, 59.7, 15097, 53.3, 6.5
Patchwork Crawler, U, R, 20002, 3.47, 3504, 4.48, 8381, 48.9, 1518, 46.9, 2587, 47.0, 4105, 47.0, 4410, 50.5, -3.5
Repository Skaab, U, C, 281134, 6.11, 47636, 8.36, 116549, 54.1, 23627, 50.9, 51348, 55.8, 74975, 54.3, 52570, 54.2, 0.1
Scattered Thoughts, U, C, 294630, 6.58, 53184, 8.86, 145671, 55.8, 28183, 55.2, 53626, 58.1, 81809, 57.1, 72410, 54.8, 2.2
Screaming Swarm, U, U, 73618, 4.23, 15305, 5.52, 54112, 52.5, 8814, 49.1, 24475, 53.1, 33289, 52.1, 27282, 52.7, -0.6
Selhoff Entomber, U, C, 316826, 7.90, 45231, 10.93, 60328, 53.3, 13172, 53.9, 21883, 52.0, 35055, 52.7, 29287, 53.8, -1.1
Serpentine Ambush, U, C, 322143, 8.47, 36073, 12.22, 16673, 52.7, 3138, 52.5, 6034, 53.3, 9172, 53.0, 8376, 52.3, 0.7
Skywarp Skaab, U, C, 301657, 6.87, 39434, 9.86, 67185, 52.6, 11995, 50.2, 26533, 53.3, 38528, 52.3, 32754, 52.7, -0.4
Soulcipher Board, U, U, 96660, 6.13, 12859, 8.96, 19839, 51.3, 3683, 48.6, 6422, 51.7, 10105, 50.6, 10290, 52.0, -1.4
Steelclad Spirit, U, C, 310920, 7.51, 45698, 10.35, 75848, 54.4, 17570, 53.8, 28726, 53.4, 46296, 53.5, 35952, 54.8, -1.3
Stitched Assistant, U, C, 272064, 5.78, 48766, 7.82, 131879, 54.5, 32588, 52.9, 61042, 55.3, 93630, 54.4, 56523, 54.3, 0.1
Stormchaser Drake, U, U, 60065, 3.38, 19609, 3.93, 81978, 56.4, 18154, 60.0, 30318, 57.5, 48472, 58.4, 39463, 54.3, 4.1
Syncopate, U, C, 291733, 6.50, 48674, 8.95, 129955, 55.0, 27659, 56.4, 51075, 56.1, 78734, 56.2, 60969, 53.9, 2.3
Syphon Essence, U, C, 305572, 7.11, 48221, 9.80, 98307, 55.1, 19884, 55.0, 38824, 56.3, 58708, 55.9, 46677, 54.5, 1.3
Thirst for Discovery, U, U, 72433, 4.04, 19297, 5.00, 82171, 56.1, 15904, 56.5, 29547, 58.3, 45451, 57.7, 41121, 54.9, 2.8
Wanderlight Spirit, U, C, 302067, 7.05, 35647, 10.32, 48577, 51.8, 10424, 50.1, 17687, 51.2, 28111, 50.8, 23819, 52.8, -2.0
