Name, Color, Rarity, # Seen, ALSA, # Picked, ATA, # GP, GP WR, # OH, OH WR, # GD, GD WR, # GIH, GIH WR, # GND, GND WR, IWD
Tempered in Solitude, R, U, 120900, 5.82, 16057, 8.29, 37729, 53.0, 6433, 52.4, 8964, 51.3, 15397, 51.7, 22346, 53.9, -2.2
Thundering Raiju, R, R, 12470, 1.70, 6823, 1.65, 34301, 56.2, 5934, 61.4, 8218, 59.9, 14152, 60.5, 20180, 53.1, 7.4
Towashi Songshaper, R, C, 321609, 6.60, 51741, 8.78, 216535, 56.3, 38224, 57.4, 48749, 53.8, 86973, 55.4, 129606, 56.9, -1.5
Twinshot Sniper, R, U, 56743, 2.56, 23613, 2.89, 125895, 56.7, 21494, 59.6, 31446, 60.9, 52940, 60.4, 73013, 54.1, 6.3
Unstoppable Ogre, R, C, 337239, 7.19, 45941, 9.98, 149910, 55.7, 25246, 53.9, 34061, 54.6, 59307, 54.3, 90640, 56.7, -2.4
Upriser Renegade, R, U, 121830, 5.83, 14862, 8.39, 41990, 54.1, 7486, 54.6, 9121, 51.6, 16607, 52.9, 25393, 54.8, -1.9
Voltage Surge, R, C, 254565, 4.66, 47917, 6.15, 230591, 56.3, 39603, 56.5, 54267, 56.8, 93870, 56.7, 136781, 55.9, 0.8
Azusa's Many Journeys, G, U, 130165, 4.09, 30454, 5.28, 156146, 56.5, 27830, 61.0, 41900, 56.8, 69730, 58.5, 86475, 55.0, 3.5
Bamboo Grove Archer, G, C, 296169, 5.51, 52922, 7.62, 240667, 55.6, 42581, 56.3, 66427, 57.7, 109008, 57.1, 131804, 54.3, 2.8
Bearer of Memory, G, C, 326286, 6.38, 46747, 9.31, 166905, 55.3, 28543, 53.3, 44892, 56.6, 73435, 55.3, 93545, 55.2, 0.1
Blossom Prancer, G, U, 55614, 2.54, 27437, 2.77, 155716, 58.0, 25934, 61.3, 44629, 64.7, 70563, 63.5, 85276, 53.4, 10.1
Boon of Boseiju, G, U, 136694, 6.70, 16646, 9.97, 23866, 53.3, 3680, 51.9, 5996, 56.7, 9676, 54.9, 14204, 52.3, 2.6
Boseiju Reaches Skyward, G, U, 75261, 2.56, 34834, 2.75, 195712, 57.4, 33535, 61.8, 58255, 62.7, 91790, 62.4, 104077, 53.0, 9.4
Careful Cultivation, G, C, 317405, 6.16, 49036, 8.71, 164394, 54.6, 28709, 53.9, 43783, 54.9, 72492, 54.5, 91956, 54.8, -0.3
Coiling Stalker, G, C, 318912, 6.34, 38085, 9.45, 99897, 52.9, 17776, 52.4, 24440, 51.4, 42216, 51.9, 57709, 53.7, -1.8
Commune with Spirits, G, C, 339299, 7.24, 59861, 9.78, 203993, 56.2, 36476, 55.4, 53700, 57.3, 90176, 56.5, 113883, 55.9, 0.6
The Dragon-Kami Reborn, G, R, 31987, 4.20, 4669, 5.92, 7122, 51.7, 1218, 49.1, 1891, 53.7, 3109, 51.9, 4019, 51.6, 0.3
Fade into Antiquity, G, C, 280991, 5.26, 59548, 7.02, 287870, 55.5, 48255, 53.6, 77730, 58.9, 125985, 56.9, 161980, 54.4, 2.5
Fang of Shigeki, G, C, 257257, 4.52, 56982, 6.05, 309216, 56.1, 55073, 57.9, 83549, 56.9, 138622, 57.3, 170709, 55.1, 2.2
Favor of Jukai, G, C, 350993, 7.86, 41818, 11.45, 38955, 54.5, 6026, 53.7, 10552, 56.3, 16578, 55.4, 22394, 53.8, 1.6
Generous Visitor, G, U, 61108, 2.80, 22962, 3.19, 126781, 56.8, 22535, 63.6, 33224, 57.2, 55759, 59.8, 71068, 54.4, 5.4
Geothermal Kami, G, C, 292633, 5.49, 61647, 7.32, 278581, 55.3, 45775, 52.9, 77428, 58.4, 123203, 56.4, 155548, 54.4, 2.0
Go-Shintai of Boundless Vigor, G, U, 66851, 2.96, 17970, 3.71, 92299, 54.0, 16659, 54.9, 26479, 55.7, 43138, 55.4, 49223, 52.8, 2.6
Grafted Growth, G, C, 323970, 6.68, 50086, 9.31, 145446, 53.8, 25235, 53.4, 42090, 55.5, 67325, 54.7, 78183, 53.0, 1.7
Greater Tanuki, G, C, 241525, 4.23, 51391, 5.75, 267696, 54.5, 45556, 51.8, 76353, 57.3, 121909, 55.2, 146017, 54.0, 1.3
Harmonious Emergence, G, C, 328294, 6.75, 53579, 9.40, 170242, 55.5, 27517, 54.5, 50731, 58.5, 78248, 57.1, 92110, 54.2, 2.9
Heir of the Ancient Fang, G, C, 345357, 7.65, 37789, 11.33, 45753, 51.7, 7750, 49.6, 10871, 50.6, 18621, 50.2, 27146, 52.7, -2.5
Historian's Wisdom, G, U, 130258, 6.11, 16568, 9.14, 34123, 54.1, 5619, 52.3, 9413, 55.5, 15032, 54.3, 19107, 53.9, 0.4
Invoke the Ancients, G, R, 15404, 2.07, 8268, 2.06, 44247, 57.4, 7331, 63.3, 12053, 64.7, 19384, 64.2, 24879, 52.2, 12.0
Jugan Defends the Temple, G, M, 4800, 1.29, 4065, 1.27, 23604, 59.6, 4243, 70.9, 7091, 66.6, 11334, 68.2, 12287, 51.6, 16.7
Jukai Preserver, G, C, 263142, 4.60, 54533, 6.24, 283601, 56.0, 47574, 55.6, 78846, 58.4, 126420, 57.4, 157331, 55.0, 2.4
Jukai Trainee, G, C, 324910, 6.45, 48417, 9.16, 167069, 54.8, 29811, 56.0, 41927, 54.7, 71738, 55.3, 95394, 54.4, 0.8
Kami of Transience, G, R, 12274, 1.65, 7655, 1.62, 43187, 57.7, 7838, 66.0, 11526, 59.6, 19364, 62.2, 23851, 54.0, 8.1
Kappa Tech-Wrecker, G, U, 56838, 2.59, 27932, 2.81, 157138, 58.3, 28289, 65.1, 43111, 62.3, 71400, 63.4, 85809, 54.1, 9.3
Kodama of the West Tree, G, M, 5704, 1.52, 3379, 1.51, 16869, 53.9, 3033, 58.0, 4429, 56.5, 7462, 57.1, 9420, 51.5, 5.6
Kura the Boundless Sky, G, M, 4809, 1.27, 3830, 1.25, 20675, 56.9, 3461, 60.8, 5945, 64.0, 9406, 62.8, 11299, 52.0, 10.9
March of Burgeoning Life, G, R, 46167, 5.72, 5923, 8.81, 425, , 67, , 98, , 165, , 260, 47.3, 
Master's Rebuke, G, C, 245522, 4.30, 51741, 5.81, 268250, 56.1, 43868, 55.0, 71269, 59.4, 115137, 57.7, 153220, 54.9, 2.8
Orochi Merge-Keeper, G, U, 105579, 4.68, 16099, 6.46, 61594, 52.8, 10986, 52.9, 15272, 51.5, 26258, 52.1, 35365, 53.3, -1.3
Roaring Earth, G, U, 77747, 3.53, 14672, 4.45, 66901, 52.9, 11682, 53.5, 17497, 52.5, 29179, 52.9, 37742, 53.0, -0.0
Season of Renewal, G, C, 308294, 6.06, 62464, 8.06, 270918, 55.6, 43027, 51.9, 74059, 59.0, 117086, 56.4, 153950, 55.1, 1.3
Shigeki Jukai Visionary, G, R, 14127, 1.85, 8672, 1.85, 46737, 57.0, 8525, 60.5, 13562, 62.4, 22087, 61.7, 24685, 52.8, 8.9
Spinning Wheel Kick, G, U, 88614, 3.95, 23344, 4.83, 115795, 56.0, 17914, 53.7, 31947, 61.5, 49861, 58.7, 65979, 54.0, 4.7
Spring-Leaf Avenger, G, R, 11376, 1.52, 7917, 1.51, 43109, 55.9, 7163, 57.7, 12247, 61.4, 19410, 60.0, 23730, 52.5, 7.6
Storyweave, G, U, 132153, 6.42, 14550, 9.89, 18398, 52.9, 2913, 50.8, 4698, 54.7, 7611, 53.3, 10796, 52.7, 0.6
Tales of Master Seshiro, G, C, 261716, 4.27, 57741, 5.61, 299204, 55.4, 47892, 54.9, 85628, 58.7, 133520, 57.4, 165815, 53.9, 3.5
Tamiyo's Safekeeping, G, C, 338084, 7.10, 49829, 10.06, 144672, 56.0, 22891, 56.4, 38851, 59.4, 61742, 58.2, 83000, 54.3, 4.0
Teachings of the Kirin, G, R, 18130, 2.43, 7949, 2.56, 41608, 57.6, 7470, 65.8, 11358, 59.9, 18828, 62.2, 22799, 53.8, 8.4
Weaver of Harmony, G, R, 12783, 1.72, 7581, 1.70, 41631, 56.1, 7437, 58.9, 11715, 59.5, 19152, 59.3, 22500, 53.3, 5.9
Webspinner Cuff, G, U, 114716, 5.00, 18552, 7.07, 71451, 53.8, 12318, 52.3, 19029, 55.6, 31347, 54.3, 40155, 53.4, 0.9
Asari Captain, WR, U, 116473, 5.63, 12585, 8.49, 29306, 51.6, 4711, 50.6, 7076, 52.8, 11787, 51.9, 17537, 51.4, 0.5
Colossal Skyturtle, UG, U, 79840, 3.66, 25167, 4.33, 121108, 55.3, 19698, 53.9, 37932, 61.0, 57630, 58.6, 63568, 52.4, 6.2
Eiganjo Uprising, WR, R, 37713, 4.80, 5161, 7.07, 7250, 49.5, 1172, 44.0, 1713, 51.3, 2885, 48.4, 4369, 50.4, -2.0
Enthusiastic Mechanaut, UR, U, 113356, 5.56, 19895, 7.24, 60773, 55.6, 10434, 60.9, 16229, 57.6, 26663, 58.9, 34131, 53.0, 5.9
Gloomshrieker, BG, U, 79846, 3.63, 27098, 4.22, 127524, 55.5, 21419, 54.1, 36528, 60.4, 57947, 58.0, 69627, 53.4, 4.7
Greasefang Okiba Boss, WB, R, 22762, 3.07, 5148, 3.62, 14816, 52.8, 2536, 53.2, 3968, 56.0, 6504, 54.9, 8328, 51.2, 3.7
Hidetsugu Consumes All, BR, M, 11239, 3.06, 2048, 3.83, 3065, 48.8, 496, 47.6, 725, 46.5, 1221, 46.9, 1849, 50.0, -3.0
Hinata Dawn-Crowned, WUR, R, 27157, 3.57, 4899, 4.53, 9815, 52.2, 1642, 54.4, 2912, 57.3, 4554, 56.3, 5271, 48.7, 7.6
Invigorating Hot Spring, RG, U, 113340, 5.49, 16580, 7.67, 40367, 52.3, 6671, 52.9, 9711, 52.3, 16382, 52.5, 23991, 52.2, 0.3
Isshin Two Heavens as One, WBR, R, 31046, 4.06, 4449, 5.75, 5355, 47.0, 851, 46.8, 1276, 46.2, 2127, 46.5, 3229, 47.4, -1.0
Jukai Naturalist, WG, U, 82326, 3.78, 19987, 4.66, 95973, 56.7, 16895, 62.2, 26446, 58.7, 43341, 60.1, 52671, 54.0, 6.1
Kaito Shizuki, UB, M, 5037, 1.35, 3581, 1.32, 17390, 57.0, 3020, 63.2, 5044, 60.9, 8064, 61.8, 9337, 52.9, 8.9
The Kami War, WUBRG, M, 9841, 2.68, 4268, 2.67, 16072, 54.8, 2676, 59.3, 5470, 66.1, 8146, 63.9, 7938, 45.5, 18.4
Kotose the Silent Spider, UB, R, 17067, 2.27, 7866, 2.33, 37198, 55.3, 6079, 55.4, 11132, 59.9, 17211, 58.3, 20016, 52.8, 5.6
Naomi Pillar of Order, WB, U, 93109, 4.18, 19119, 5.53, 71911, 53.6, 11317, 53.3, 20499, 56.5, 31816, 55.4, 40149, 52.3, 3.1
Oni-Cult Anvil, BR, U, 90431, 4.29, 23398, 5.06, 101298, 57.8, 17527, 60.4, 23606, 59.8, 41133, 60.1, 60191, 56.2, 3.9
Prodigy's Prototype, WU, U, 105592, 4.98, 16731, 6.86, 51594, 54.9, 8621, 58.8, 15564, 57.9, 24185, 58.3, 27430, 51.9, 6.4
Raiyuu Storm's Edge, WR, R, 19853, 2.80, 5095, 2.96, 18573, 53.9, 3220, 58.1, 4531, 58.6, 7751, 58.4, 10837, 50.7, 7.7
Risona Asari Commander, WR, R, 24625, 3.32, 4283, 4.16, 12431, 52.6, 2221, 55.4, 2952, 53.1, 5173, 54.1, 7267, 51.5, 2.6
Satoru Umezawa, UB, R, 17660, 2.44, 6803, 2.50, 29620, 56.0, 5062, 56.9, 8485, 57.9, 13547, 57.6, 16100, 54.7, 2.9
Satsuki the Living Lore, WG, R, 27662, 3.58, 5258, 4.57, 15812, 52.8, 2731, 49.9, 4079, 53.2, 6810, 51.9, 9007, 53.4, -1.5
Silver-Fur Master, UB, U, 87199, 4.11, 19998, 5.03, 87911, 58.2, 15452, 60.4, 24970, 60.3, 40422, 60.3, 47524, 56.4, 3.9
Spirit-Sister's Call, WB, M, 10080, 2.74, 3378, 2.93, 11784, 52.5, 1848, 48.1, 3494, 57.4, 5342, 54.2, 6449, 51.2, 3.0
Tamiyo Compleated Sage, UG, M, 4660, 1.28, 3622, 1.25, 18025, 53.4, 3091, 53.7, 5409, 60.2, 8500, 57.8, 9542, 49.5, 8.3
Automated Artificer, , C, 351205, 7.77, 39365, 11.30, 48602, 51.5, 8671, 50.0, 12383, 51.4, 21054, 50.9, 27563, 52.0, -1.2
Bronze Cudgels, , U, 148546, 7.99, 15561, 11.89, 3558, 49.1, 590, 43.9, 886, 48.0, 1476, 46.3, 2085, 51.0, -4.7
Brute Suit, , C, 339011, 6.78, 43212, 9.97, 95524, 54.9, 15965, 54.9, 24252, 54.4, 40217, 54.6, 55351, 55.2, -0.6
Circuit Mender, , U, 57517, 2.45, 26380, 2.85, 159906, 57.6, 28796, 60.6, 43915, 60.5, 72711, 60.5, 87289, 55.2, 5.3
Containment Construct, , U, 106934, 4.48, 26099, 5.72, 103558, 54.5, 18563, 53.9, 29903, 55.7, 48466, 55.0, 55144, 54.0, 1.0
Dramatist's Puppet, , C, 363436, 8.87, 37762, 12.72, 5695, 48.7, 871, 46.6, 1494, 48.5, 2365, 47.8, 3333, 49.4, -1.5
Eater of Virtue, , R, 10173, 1.38, 7282, 1.37, 41855, 55.1, 7394, 56.6, 11177, 56.0, 18571, 56.2, 23300, 54.2, 2.0
Ecologist's Terrarium, , C, 296024, 5.09, 49916, 7.28, 190474, 53.6, 35232, 53.2, 49972, 55.0, 85204, 54.3, 105336, 53.0, 1.2
High-Speed Hoverbike, , U, 85182, 3.42, 21065, 4.48, 110788, 56.4, 19352, 55.6, 29069, 59.3, 48421, 57.8, 62412, 55.3, 2.5
Iron Apprentice, , C, 315682, 5.69, 45454, 8.16, 177605, 55.7, 32225, 57.1, 41510, 54.3, 73735, 55.6, 103914, 55.8, -0.2
Mechtitan Core, , R, 19323, 2.59, 5410, 2.77, 22455, 51.4, 3874, 47.9, 6043, 52.2, 9917, 50.5, 12547, 52.1, -1.6
Mirror Box, , R, 41847, 5.18, 4934, 8.27, 605, , 92, , 159, , 251, 43.8, 354, 47.7, -3.9
Network Terminal, , C, 326315, 6.24, 53467, 8.69, 168744, 53.7, 29935, 53.8, 46456, 55.9, 76391, 55.1, 92428, 52.6, 2.5
Ninja's Kunai, , C, 313856, 5.50, 54697, 7.95, 223593, 55.4, 38099, 53.7, 59312, 56.6, 97411, 55.5, 126262, 55.3, 0.1
Papercraft Decoy, , C, 334590, 6.24, 53159, 8.98, 182740, 55.0, 33203, 54.2, 46828, 54.9, 80031, 54.6, 102787, 55.3, -0.6
Patchwork Automaton, , U, 69986, 3.00, 19525, 3.60, 103465, 56.4, 19070, 63.6, 25529, 55.5, 44599, 59.0, 58904, 54.4, 4.6
Reckoner Bankbuster, , R, 9005, 1.20, 7848, 1.19, 48015, 58.1, 8940, 64.2, 13106, 62.5, 22046, 63.2, 26001, 53.8, 9.4
Reito Sentinel, , U, 144273, 7.22, 16219, 10.85, 14025, 51.4, 2407, 47.9, 4039, 55.0, 6446, 52.3, 7591, 50.7, 1.7
Runaway Trash-Bot, , U, 113335, 4.68, 17377, 6.78, 69915, 52.6, 11931, 49.3, 18410, 54.0, 30341, 52.1, 39611, 52.9, -0.8
Searchlight Companion, , C, 302082, 5.18, 60951, 7.22, 296743, 56.8, 52303, 56.4, 79494, 58.3, 131797, 57.6, 165099, 56.3, 1.3
Shrine Steward, , C, 346766, 7.23, 56087, 10.03, 114841, 54.7, 18040, 53.0, 32672, 57.6, 50712, 56.0, 64197, 53.7, 2.3
Surgehacker Mech, , R, 11992, 1.60, 7812, 1.60, 43561, 57.2, 7322, 60.3, 11934, 62.3, 19256, 61.5, 24329, 53.8, 7.7
Thundersteel Colossus, , C, 343627, 7.36, 34098, 11.17, 33454, 50.0, 4832, 46.0, 9072, 52.1, 13904, 49.9, 19569, 50.1, -0.1
Towashi Guide-Bot, , U, 83604, 3.42, 18871, 4.55, 93768, 54.0, 15656, 52.0, 25407, 56.7, 41063, 54.9, 52770, 53.4, 1.5
Walking Skyscraper, , U, 111608, 4.87, 14614, 7.15, 41634, 52.1, 6279, 49.1, 11053, 55.3, 17332, 53.1, 24337, 51.3, 1.7
Bloodfell Caves, BR, B, 120985, 6.53, 21282, 9.12, 69005, 55.2, 12385, 56.2, 16626, 52.8, 29011, 54.2, 40016, 55.9, -1.7
Blossoming Sands, WG, B, 117124, 6.04, 22578, 8.26, 96924, 55.6, 17914, 58.4, 25341, 54.7, 43255, 56.2, 53707, 55.2, 1.1
Boseiju Who Endures, G, R, 16265, 2.11, 7503, 2.22, 37479, 55.1, 6667, 54.3, 10785, 59.7, 17452, 57.6, 20464, 53.3, 4.3
Dismal Backwater, UB, B, 116149, 5.91, 23205, 8.13, 93984, 56.0, 17069, 57.5, 26171, 56.2, 43240, 56.7, 50771, 55.4, 1.3
Eiganjo Seat of the Empire, W, R, 16612, 2.14, 6429, 2.30, 32215, 55.3, 5846, 55.2, 8999, 58.2, 14845, 57.0, 17498, 54.1, 2.9
Jungle Hollow, BG, B, 118771, 6.20, 25102, 8.37, 95876, 55.3, 17713, 57.4, 25113, 54.9, 42826, 55.9, 53089, 54.8, 1.1
Mech Hangar, , U, 143571, 7.56, 14905, 11.38, 12344, 50.1, 2060, 49.6, 3146, 49.4, 5206, 49.4, 7147, 50.5, -1.1
Otawara Soaring City, U, R, 22044, 2.68, 7007, 3.07, 33595, 55.2, 5847, 55.1, 10048, 57.7, 15895, 56.8, 17793, 53.9, 2.9
Roadside Reliquary, , U, 124116, 5.12, 21069, 7.32, 91692, 56.8, 15405, 56.8, 25223, 59.4, 40628, 58.4, 51428, 55.6, 2.7
Rugged Highlands, RG, B, 125621, 7.25, 20823, 10.05, 47697, 53.1, 8743, 55.0, 11801, 52.6, 20544, 53.6, 27174, 52.7, 0.9
Scoured Barrens, WB, B, 118399, 6.08, 22836, 8.37, 84986, 54.8, 15375, 56.3, 22247, 54.4, 37622, 55.2, 47393, 54.4, 0.7
Secluded Courtyard, , U, 146117, 7.62, 15508, 11.40, 10487, 49.9, 1787, 49.2, 2638, 49.6, 4425, 49.4, 6066, 50.3, -0.9
Sokenzan Crucible of Defiance, R, R, 27913, 3.38, 5955, 4.24, 26007, 55.4, 4538, 55.3, 6052, 53.6, 10590, 54.3, 15431, 56.2, -1.8
Swiftwater Cliffs, UR, B, 125206, 7.09, 21935, 9.78, 55418, 53.8, 10116, 55.4, 14944, 53.3, 25060, 54.1, 30383, 53.6, 0.6
Takenuma Abandoned Mire, B, R, 23503, 2.85, 7219, 3.36, 36025, 56.0, 6203, 55.4, 9650, 56.3, 15853, 56.0, 20218, 56.0, -0.0
Thornwood Falls, UG, B, 119285, 6.37, 24573, 8.59, 90751, 55.3, 16611, 57.7, 25502, 56.2, 42113, 56.8, 48693, 54.0, 2.8
Tranquil Cove, WU, B, 119257, 6.32, 22660, 8.65, 81566, 55.3, 14714, 56.9, 22991, 56.6, 37705, 56.7, 43903, 54.1, 2.6
Uncharted Haven, , C, 294083, 5.01, 67123, 6.91, 363291, 55.3, 66599, 55.8, 95468, 54.0, 162067, 54.7, 201332, 55.7, -0.9
Wind-Scarred Crag, WR, B, 122735, 6.71, 18184, 9.60, 48720, 53.3, 8765, 53.9, 12265, 52.8, 21030, 53.3, 27704, 53.3, -0.1
