Name, Color, Rarity, # Seen, ALSA, # Picked, ATA, # GP, GP WR, # OH, OH WR, # GD, GD WR, # GIH, GIH WR, # GND, GND WR, IWD
When We Were Young, W, U, 139677, 6.90, 15370, 10.49, 14002, 52.6, 2158, 48.8, 3787, 56.4, 5945, 53.7, 8059, 51.8, 1.9
Acquisition Octopus, U, U, 87780, 3.86, 15616, 5.15, 67950, 52.8, 11560, 51.6, 19674, 54.1, 31234, 53.2, 36771, 52.5, 0.7
Anchor to Reality, U, U, 143450, 7.89, 16789, 11.56, 5231, 48.5, 817, 45.4, 1452, 50.3, 2269, 48.6, 2964, 48.4, 0.2
Armguard Familiar, U, C, 318016, 6.12, 45246, 8.87, 153312, 53.9, 26806, 52.6, 43635, 55.4, 70441, 54.3, 82936, 53.6, 0.7
Awakened Awareness, U, U, 141689, 7.29, 15568, 10.94, 7745, 48.8, 1220, 45.6, 2247, 51.1, 3467, 49.1, 4282, 48.5, 0.7
Behold the Unspeakable, U, U, 66722, 2.33, 37138, 2.43, 201651, 57.5, 33549, 59.3, 63640, 64.2, 97189, 62.5, 104603, 52.8, 9.7
Covert Technician, U, U, 107331, 4.78, 16050, 6.81, 60118, 53.8, 10280, 54.3, 16844, 54.2, 27124, 54.2, 33018, 53.5, 0.7
Discover the Impossible, U, U, 148008, 8.14, 16423, 11.98, 2080, 49.7, 343, 46.1, 596, 49.8, 939, 48.5, 1141, 50.7, -2.3
Disruption Protocol, U, C, 348724, 8.02, 40777, 11.62, 41143, 53.7, 6554, 52.1, 12371, 57.5, 18925, 55.6, 22238, 52.0, 3.6
Essence Capture, U, U, 132161, 6.66, 15539, 9.95, 21256, 53.1, 3399, 52.5, 6275, 56.4, 9674, 55.0, 11587, 51.5, 3.5
Futurist Operative, U, U, 128414, 6.21, 14426, 9.39, 21796, 52.1, 3582, 49.6, 6225, 54.7, 9807, 52.8, 12011, 51.6, 1.2
Futurist Sentinel, U, C, 350109, 8.17, 34808, 12.18, 18761, 49.2, 3044, 47.2, 5236, 50.2, 8280, 49.1, 10486, 49.2, -0.1
Go-Shintai of Lost Wisdom, U, U, 114575, 5.20, 17836, 7.51, 47321, 52.7, 8360, 52.4, 14557, 55.7, 22917, 54.5, 24445, 50.9, 3.6
Guardians of Oboro, U, C, 356333, 8.48, 41169, 12.15, 29087, 51.4, 5068, 50.0, 8253, 53.0, 13321, 51.8, 15786, 51.0, 0.9
Inventive Iteration, U, R, 12237, 1.64, 8970, 1.61, 51229, 59.1, 8543, 64.7, 15893, 66.5, 24436, 65.9, 26818, 52.9, 12.9
Invoke the Winds, U, R, 20606, 2.68, 7580, 2.81, 32445, 55.4, 5227, 53.9, 10207, 61.1, 15434, 58.6, 17027, 52.5, 6.2
Jin-Gitaxias Progress Tyrant, U, M, 4874, 1.33, 3506, 1.30, 17067, 53.6, 2776, 54.5, 5341, 59.6, 8117, 57.9, 8971, 49.7, 8.1
Kairi the Swirling Sky, U, M, 4829, 1.28, 3897, 1.26, 20859, 56.6, 3449, 60.1, 6408, 65.6, 9857, 63.7, 11027, 50.3, 13.4
March of Swirling Mist, U, R, 33606, 4.11, 5977, 5.54, 16468, 53.4, 2498, 49.3, 4775, 57.7, 7273, 54.8, 9201, 52.2, 2.6
Mindlink Mech, U, R, 14957, 1.99, 7425, 2.01, 37986, 56.1, 6538, 58.3, 11147, 59.8, 17685, 59.2, 20334, 53.4, 5.9
Mirrorshell Crab, U, C, 312467, 6.02, 44310, 8.82, 134040, 53.7, 21534, 52.5, 41197, 56.9, 62731, 55.4, 71453, 52.2, 3.2
Mnemonic Sphere, U, C, 337770, 6.95, 44014, 10.11, 91278, 53.3, 16012, 51.5, 26759, 55.5, 42771, 54.0, 48547, 52.6, 1.4
Mobilizer Mech, U, U, 111126, 5.27, 12810, 7.89, 26967, 51.4, 4646, 51.1, 7442, 54.0, 12088, 52.9, 14895, 50.3, 2.6
The Modern Age, U, C, 265617, 4.38, 73151, 5.35, 357239, 56.9, 64306, 59.5, 105666, 59.3, 169972, 59.4, 187407, 54.6, 4.7
Moon-Circuit Hacker, U, C, 242383, 4.35, 59149, 5.56, 302237, 57.5, 53655, 58.9, 88249, 59.7, 141904, 59.4, 160424, 55.7, 3.7
Moonfolk Puzzlemaker, U, C, 306697, 5.77, 44902, 8.36, 171958, 54.5, 29824, 53.0, 50150, 57.1, 79974, 55.6, 92079, 53.6, 1.9
Moonsnare Prototype, U, C, 354223, 8.35, 44635, 11.80, 32254, 52.5, 5262, 49.3, 9525, 54.8, 14787, 52.9, 17483, 52.2, 0.6
Moonsnare Specialist, U, C, 241644, 4.27, 59708, 5.56, 301810, 56.7, 50399, 55.4, 91075, 60.2, 141474, 58.5, 160463, 55.1, 3.4
Network Disruptor, U, C, 267548, 4.90, 61892, 6.27, 300554, 57.2, 53010, 60.4, 85882, 58.7, 138892, 59.4, 161752, 55.4, 4.0
Planar Incision, U, C, 355171, 8.34, 43955, 11.87, 39622, 54.5, 6129, 51.9, 11802, 58.1, 17931, 56.0, 21711, 53.2, 2.7
Prosperous Thief, U, U, 80939, 3.51, 20701, 4.44, 104715, 56.2, 18071, 58.5, 30354, 58.7, 48425, 58.6, 56336, 54.2, 4.5
The Reality Chip, U, R, 12225, 1.66, 8773, 1.64, 48735, 57.1, 8588, 60.2, 14458, 63.7, 23046, 62.4, 25750, 52.4, 9.9
Reality Heist, U, U, 142295, 7.57, 17852, 10.97, 13535, 50.4, 2103, 46.3, 3739, 50.7, 5842, 49.1, 7697, 51.4, -2.3
Replication Specialist, U, U, 73886, 3.38, 18982, 4.08, 84727, 53.5, 13714, 52.0, 25006, 56.7, 38720, 55.0, 46127, 52.2, 2.8
Saiba Trespassers, U, C, 350812, 7.85, 43428, 11.30, 49565, 53.1, 7574, 50.2, 14649, 55.9, 22223, 54.0, 27376, 52.3, 1.7
Short Circuit, U, C, 359385, 8.82, 41035, 12.59, 16358, 52.6, 2637, 50.3, 4956, 55.2, 7593, 53.5, 8771, 51.8, 1.7
